scaleFactor,minNeighbors,avgDistance
1.31,1,17.146459258112635
1.31,2,16.39613062263166
1.31,3,10.435886587346962
1.31,4,10.435886587346962
1.31,5,7.392817545110809
1.31,6,7.392817545110809
1.31,7,8.101396188873498
1.31,8,8.101396188873498
1.31,9,8.101396188873498
1.31,10,8.299128138014137
1.32,1,21.67973527044274
1.32,2,15.185913071920453
1.32,3,16.015202393801797
1.32,4,14.326311482139877
1.32,5,13.903678293739336
1.32,6,13.903678293739336
1.32,7,6.464993163242771
1.32,8,6.464993163242771
1.32,9,6.627089185561758
1.32,10,8.053033777163439
1.33,1,17.81112390852702
1.33,2,14.580727520546754
1.33,3,11.802242557071
1.33,4,8.11529438957847
1.33,5,8.542607227676106
1.33,6,8.337140128907864
1.33,7,8.337140128907864
1.33,8,8.337140128907864
1.33,9,7.752524113923647
1.33,10,7.752524113923647
1.34,1,32.433166074018594
1.34,2,24.55757080510761
1.34,3,6.432018497831608
1.34,4,6.432018497831608
1.34,5,12.672226588848588
1.34,6,12.672226588848588
1.34,7,6.778444655597776
1.34,8,6.778444655597776
1.34,9,6.778444655597776
1.34,10,6.778444655597776
1.35,1,25.59045557276009
1.35,2,26.599034216522778
1.35,3,22.07291760512928
1.35,4,22.454451761286627
1.35,5,10.745297041722951
1.35,6,10.101993604357025
1.35,7,10.101993604357025
1.35,8,10.101993604357025
1.35,9,10.101993604357025
1.35,10,11.828058171126072
1.36,1,47.60400378845986
1.36,2,40.10914741732499
1.36,3,38.45914741732499
1.36,4,20.951475091237334
1.36,5,16.0092757028296
1.36,6,7.720484624968742
1.36,7,8.479063268731434
1.36,8,8.115548400568423
1.36,9,8.457484537473857
1.36,10,8.457484537473857
1.37,1,29.951609012181585
1.37,2,26.055496780170916
1.37,3,26.619757948064972
1.37,4,26.619757948064972
1.37,5,18.59535836104799
1.37,6,18.59535836104799
1.37,7,19.29582312180226
1.37,8,7.459144491110527
1.37,9,7.167997444914192
1.37,10,7.976576088676883
1.38,1,33.59572714942283
1.38,2,15.236509360333338
1.38,3,15.236509360333338
1.38,4,6.740147317837517
1.38,5,20.33519675822834
1.38,6,20.013340378501585
1.38,7,20.83082630150794
1.38,8,20.83082630150794
1.38,9,21.71902290263295
1.38,10,21.792450086083115
1.39,1,45.05420491738094
1.39,2,40.122366459874975
1.39,3,37.37440432629187
1.39,4,29.463981868147187
1.39,5,22.75415806496542
1.39,6,10.958862256486446
1.39,7,18.146990853765097
1.39,8,8.872681571741854
1.39,9,8.872681571741854
1.39,10,8.872681571741854
1.4,1,35.95961529199359
1.4,2,36.6339536381953
1.4,3,37.13351986255046
1.4,4,37.13351986255046
1.4,5,35.977857016460746
1.4,6,28.48430090262743
1.4,7,20.479159555967176
1.4,8,20.168019285784432
1.4,9,9.351732396812746
1.4,10,9.351732396812746
1.41,1,58.81676266545529
1.41,2,38.439347577516365
1.41,3,30.010646438316122
1.41,4,30.010646438316122
1.41,5,19.446957039154636
1.41,6,17.66622772493555
1.41,7,19.195853299279218
1.41,8,19.195853299279218
1.41,9,20.084049900404228
1.41,10,20.3808836902519
1.42,1,54.42457528279872
1.42,2,38.517392086693725
1.42,3,42.678269553323304
1.42,4,30.86849445676769
1.42,5,18.898877238351133
1.42,6,17.219259280988815
1.42,7,17.219259280988815
1.42,8,10.975683845420496
1.42,9,11.705766563537088
1.42,10,11.705766563537088
1.43,1,45.01372173132141
1.43,2,38.78105760136281
1.43,3,40.22866718261977
1.43,4,36.89341112147055
1.43,5,30.893336268840265
1.43,6,30.893336268840265
1.43,7,30.893336268840265
1.43,8,30.893336268840265
1.43,9,32.11338924898634
1.43,10,20.620551573573447
1.44,1,56.4286572381186
1.44,2,42.47200765074798
1.44,3,51.20625114233265
1.44,4,51.743130866084826
1.44,5,43.250897693235196
1.44,6,50.235548007150896
1.44,7,38.80620910620007
1.44,8,31.95217789656466
1.44,9,24.41931222674264
1.44,10,24.660888894602394
1.45,1,56.839645641026934
1.45,2,55.907638942479345
1.45,3,33.13956856883949
1.45,4,44.22127141611361
1.45,5,34.09718489473992
1.45,6,33.85081279827815
1.45,7,35.04620034484783
1.45,8,11.60447811396183
1.45,9,12.290754474566576
1.45,10,12.290754474566576
1.46,1,48.696661566261625
1.46,2,47.599791618718896
1.46,3,41.68696442171418
1.46,4,41.07313842584411
1.46,5,41.07313842584411
1.46,6,41.07313842584411
1.46,7,32.102744522218735
1.46,8,30.72701196451821
1.46,9,35.72096396463047
1.46,10,12.273022831751952
1.47,1,37.01525574353523
1.47,2,33.742391448366945
1.47,3,33.668269165874634
1.47,4,34.3520413998578
1.47,5,45.27155278481253
1.47,6,42.3231657863774
1.47,7,34.22252931505648
1.47,8,33.76351232068153
1.47,9,35.14339369929786
1.47,10,9.68908105414702
1.48,1,45.20772536905188
1.48,2,39.596366312431385
1.48,3,52.00784929562834
1.48,4,30.437777812943853
1.48,5,20.04306553875477
1.48,6,11.183027257868696
1.48,7,11.183027257868696
1.48,8,11.183027257868696
1.48,9,12.071223858993708
1.48,10,12.813109975985288
1.49,1,61.52890513628969
1.49,2,49.9386679303011
1.49,3,39.52809665179165
1.49,4,40.26998276878323
1.49,5,24.822114950648615
1.49,6,9.841987106465368
1.49,7,9.841987106465368
1.49,8,10.54245186721964
1.49,9,11.908265421046929
1.49,10,11.908265421046929
1.5,1,28.319575456868158
1.5,2,29.770314648625224
1.5,3,28.838184119169
1.5,4,21.317420315575887
1.5,5,21.317420315575887
1.5,6,22.75523144854497
1.5,7,22.4851437359954
1.5,8,23.135143735995403
1.5,9,23.93879630447522
1.5,10,23.93879630447522
1.51,1,39.748428193838194
1.51,2,40.83993601090326
1.51,3,19.223362602733523
1.51,4,19.223362602733523
1.51,5,12.99214345400686
1.51,6,12.13402957099844
1.51,7,8.81291851369782
1.51,8,8.81291851369782
1.51,9,9.70111511482283
1.51,10,9.70111511482283
1.52,1,52.60846401101187
1.52,2,29.427431764620103
1.52,3,26.00715926513317
1.52,4,26.00715926513317
1.52,5,11.36881173634657
1.52,6,11.36881173634657
1.52,7,11.17748153664154
1.52,8,11.819367653633124
1.52,9,13.065121364668329
1.52,10,13.065121364668329
1.53,1,21.61772869489548
1.53,2,22.607088064528263
1.53,3,13.859843859409853
1.53,4,12.071647258284845
1.53,5,12.071647258284845
1.53,6,11.646954944694475
1.53,7,11.646954944694475
1.53,8,8.918636547533008
1.53,9,9.806833148658018
1.53,10,9.806833148658018
1.54,1,28.929086742907423
1.54,2,30.649825198102842
1.54,3,26.261840107243057
1.54,4,18.621639016150503
1.54,5,18.74261005164172
1.54,6,8.026632141336364
1.54,7,8.026632141336364
1.54,8,8.026632141336364
1.54,9,19.271447708883255
1.54,10,19.543436719955203
1.55,1,35.41271606098306
1.55,2,31.116728016387118
1.55,3,19.155541917942873
1.55,4,19.205483656877124
1.55,5,18.884502604343243
1.55,6,18.884502604343243
1.55,7,7.386030068675652
1.55,8,7.386030068675652
1.55,9,8.274226669800663
1.55,10,8.274226669800663
1.56,1,30.983766675114147
1.56,2,31.123558146081695
1.56,3,29.495605341419708
1.56,4,26.808182065286424
1.56,5,27.05610233634681
1.56,6,16.133654893085307
1.56,7,16.133654893085307
1.56,8,16.133654893085307
1.56,9,17.021851494210317
1.56,10,9.35
1.57,1,49.1527170348945
1.57,2,49.7618501449042
1.57,3,32.97923068500843
1.57,4,19.47473025099179
1.57,5,24.228014950663983
1.57,6,24.228014950663983
1.57,7,20.481419458355198
1.57,8,20.481419458355198
1.57,9,21.464665083800572
1.57,10,21.464665083800572
1.58,1,40.142980028691404
1.58,2,30.15751946362966
1.58,3,30.90136418234878
1.58,4,20.1810757811949
1.58,5,19.878038274507027
1.58,6,19.61866344246112
1.58,7,19.61866344246112
1.58,8,8.71082206230115
1.58,9,19.215625839985154
1.58,10,9.159333405862242
1.59,1,48.73487696541646
1.59,2,48.12768608204693
1.59,3,40.379985661417436
1.59,4,24.14655698085203
1.59,5,24.14655698085203
1.59,6,12.567880188191474
1.59,7,6.833823403047061
1.59,8,7.563906121163653
1.59,9,8.452102722288664
1.59,10,8.452102722288664
1.6,1,42.47492632134687
1.6,2,35.064325539630445
1.6,3,37.031655004091235
1.6,4,36.711728529528
1.6,5,24.33368523138854
1.6,6,24.33368523138854
1.6,7,16.238966159774513
1.6,8,7.8910014888441
1.6,9,9.335410196624968
1.6,10,9.335410196624968
1.61,1,41.18180072136426
1.61,2,36.697249246757025
1.61,3,16.733764291849887
1.61,4,8.86915342151069
1.61,5,8.86915342151069
1.61,6,8.129853632625341
1.61,7,7.320982347695005
1.61,8,7.714827066414122
1.61,9,8.603023667539134
1.61,10,8.603023667539134
1.62,1,34.76607306337438
1.62,2,30.759524057271307
1.62,3,18.949291036390058
1.62,4,18.949291036390058
1.62,5,8.252703658949123
1.62,6,8.252703658949123
1.62,7,8.340106863838887
1.62,8,7.805953672095231
1.62,9,8.694150273220242
1.62,10,8.626208734813002
1.63,1,38.815649319154105
1.63,2,35.860169510163566
1.63,3,31.15723844481321
1.63,4,17.95775733899525
1.63,5,9.97383902003219
1.63,6,9.15670930594447
1.63,7,8.342931650410918
1.63,8,8.342931650410918
1.63,9,9.23112825153593
1.63,10,9.23112825153593
1.64,1,46.40289347009938
1.64,2,47.34887531875183
1.64,3,17.21133043341096
1.64,4,15.552423154167297
1.64,5,7.821613525874248
1.64,6,14.937509208386041
1.64,7,14.937509208386041
1.64,8,8.117755368570219
1.64,9,9.19142135623731
1.64,10,9.19142135623731
1.65,1,21.50256557606654
1.65,2,18.632063304328643
1.65,3,19.137276906368914
1.65,4,17.27859987675067
1.65,5,18.078673961069732
1.65,6,24.143611740659985
